patient_id,name,nhs_number,dob,age,gender,ward,bay,bed,hospital_site,consultant,registrar,team,specialty,admission_date,admission_reason,days_in,patient_class,priority,escalation_flag,dnacpr,isolation,vte_status,dw_diet,dw_activity,dw_vitals,dw_investigations,dw_drains,dw_wounds,dw_examination,dw_nursing,dw_drugs,dw_barriers,obs_hr,obs_hr_flag,obs_bp,obs_bp_flag,obs_temp,obs_temp_flag,obs_o2,obs_o2_flag,obs_rr,obs_rr_flag,news_score,medications,allergies,antibiotics,abx_day,abx_review,bloods,imaging,ecg,microbiology,social_situation,mobility,discharge_plan,expected_discharge,ttl_written,procedures,operation_date,post_op_day,case_classification,alerts,tags,status,created_at,last_updated,updated_by
KCH0001,Mr Thomas Darko,242 854 2679,08/04/1963,63 yrs,Male,Ward 4B,Bay 1,Bed A,King's College Hospital,Dr Chen,Dr Frederick Adeyemi,Cardiology,Cardiology,28/01/2026,Permanent pacemaker implant,20,Inpatient,green,None,Yes,,Tinzaparin 3500u SC daily,Nutritional supplements BD — poor intake,"Mobilising with zimmer frame, physio BD",HR 77 | BP 116/85 | Temp 37.0°C | O2 99% | RR 13 | NEWS 1,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,Chest drain removed day 2. Cannula only.,Sternal wound — staple line intact. Clean and dry.,Cool peripheries. JVP elevated. Bibasal creps.,Pressure area care — repositioning 2-hourly,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Nil barriers — for discharge when medically fit,77,ok,116/85,ok,37.0,ok,99%,ok,13,ok,1,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Latex — contact dermatitis,,,,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,,Sinus tachycardia 104bpm,Wound swab: pending,Lives with spouse (frail). Both need POC arranging. Carer's assessment requested.,Mobilising with crutches NWB,Home with community nursing for wound care. Outpatient review booked.,19/02/2026,Complete,Permanent pacemaker implant,28/01/2026,Day 20,P1a - Emergency - Procedure needed within 24 hours,,CARDIOLOGY|DNACPR,Active,2026-02-17T13:38:03.423188,2026-02-17T13:38:03.423188,system
KCH0002,Mr Kofi Lewis,821 171 1750,19/04/1952,74 yrs,Male,Ward 5A,Bay 2,Bed A,King's College Hospital,Ms Williams,Dr Kofi Mitchell,General Surgery,General Surgery,27/01/2026,Anterior resection (colorectal Ca),21,Inpatient,amber,amber,No,Droplet,Rivaroxaban 10mg OD,Diabetic diet. Good intake. HbA1c optimisation ongoing,Wheelchair transfers only,HR 85 | BP 123/71 | Temp 37.3°C | O2 95% | RR 21 | NEWS 2,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,Chest drain removed day 2. Cannula only.,Wound clean and dry. Steristrips intact. NERDS 0.,Bibasal crepitations — improving. Abdomen soft.,Family very anxious — need update today,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Family not yet informed of diagnosis,85,ok,123/71,ok,37.3,ok,95%,ok,21,warn,2,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",NSAID — GI intolerance,,,,Hb 132 | WCC 11.2 | Plt 280 | Na 140 | K 4.0 | Cr 85 | eGFR 78 | CRP 8 | HbA1c 52,CT chest: no PE. Bilateral consolidation — improving,,Wound swab: pending,Lives with spouse (frail). Both need POC arranging. Carer's assessment requested.,Bed-bound — hoist transfers,Step-down to ward from HDU — discharge planning to begin.,23/02/2026,Written,Anterior resection (colorectal Ca),07/02/2026,Day 10,P4 - Elective,AMBER — antibiotic review due. Cultures pending. Micro input requested.,GENERAL SURGERY|MONITOR|DROPLET,Active,2026-02-17T13:38:03.423270,2026-02-17T13:38:03.423270,system
KCH0003,Miss Sarah Robinson,538 697 7543,24/10/1965,61 yrs,Female,Ward 6C,Bay 4,Bed A,King's College Hospital,Dr Ali,Dr John Wilson,Medicine,Medicine,12/02/2026,Sepsis (urinary source),5,Surgery Admit,urgent,escalate,No,Contact,Enoxaparin 40mg SC daily,Full diet — eating and drinking well,Weight-bearing as tolerated with crutches,HR 120 | BP 75/53 | Temp 38.8°C | O2 91% | RR 28 | NEWS 11,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,PICC line in situ. Arterial line R radial.,Wound — mild erythema 1cm. No exudate. Monitor.,Cool peripheries. JVP elevated. Bibasal creps.,Wound soaking dressings — concern re infection,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",Awaiting scan result before discharge,120,warn,75/53,bad,38.8,bad,91%,warn,28,bad,11,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",Sulphonamides — rash,,,,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,"USS abdomen: gallstones, CBD 4mm — normal","Sinus rhythm 72bpm, normal axis, no ST changes",,Lives alone. Sheltered accommodation. Warden on site. Low-level support needed.,Mobilising with frame,Discharge today if bloods acceptable. TTL with pharmacy.,,,Sepsis (urinary source),,,P1b - Urgent - Procedure needed within 72 hours,URGENT — sepsis suspected. Lactate elevated. Cultures pending. Sepsis 6 initiated.,MEDICINE|URGENT|CONTACT,Active,2026-02-17T13:38:03.423322,2026-02-17T13:38:03.423322,system
KCH0004,Mr Kwame Patel,600 119 2832,20/06/1998,28 yrs,Male,Thoracic Ward,Bay 2,Bed A,King's College Hospital,Dr Chen,Dr Lakshmi Davies,Medicine,Medicine,14/02/2026,Sepsis (urinary source),3,Day Case,urgent,escalate,No,,Contraindicated — haemorrhage risk,Soft/purée — thin fluids safe with chin tuck,"Mobilising with zimmer frame, physio BD",HR 123 | BP 85/42 | Temp 39.5°C | O2 92% | RR 24 | NEWS 8,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,IDC in situ — UO monitoring. IV cannula.,Wound — mild erythema 1cm. No exudate. Monitor.,Chest clear. Abdomen soft. Calves non-tender.,Family very anxious — need update today,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",Nil barriers — for discharge when medically fit,123,bad,85/42,bad,39.5,bad,92%,warn,24,warn,8,"Apixaban 5mg BD
Atorvastatin 40mg ON
Amlodipine 5mg OD
Lisinopril 10mg OD",Sulphonamides — rash,,,,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,"Echo: EF 30%↓, dilated LV. Urgent cardiology review",,,Lives alone. Sheltered accommodation. Warden on site. Low-level support needed.,Mobilising with crutches NWB,Nursing home placement in progress. Social worker involved.,,,Sepsis (urinary source),,,P2b - Procedure can be deferred for up to 1 month,CRITICAL — post-op deterioration. Surgical review now. Return to theatre possible.,MEDICINE|URGENT,Active,2026-02-17T13:38:03.423375,2026-02-17T13:38:03.423375,system
KCH0005,Mr David Thompson,172 626 4899,02/06/1990,36 yrs,Male,Cardiac HDU,Bay 2,Bed D,King's College Hospital,Dr Chen,Dr Brenda Adams,Thoracic Surgery,Thoracic Surgery,10/02/2026,Thoracotomy + decortication,7,Surgery Admit,amber,amber,No,,Rivaroxaban 10mg OD,Soft/purée — thin fluids safe with chin tuck,Sit in chair twice daily. Sternal precautions,HR 83 | BP 106/81 | Temp 37.6°C | O2 96% | RR 19 | NEWS 5,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,No drains. Peripheral cannula in situ.,Port sites clean. Day 2 post-op. No concerns.,Cool peripheries. JVP elevated. Bibasal creps.,Wound soaking dressings — concern re infection,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Nil barriers — for discharge when medically fit,83,ok,106/81,warn,37.6,ok,96%,ok,19,ok,5,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Penicillin — rash,,,,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,"X-ray hip: implant in good position, no loosening",Sinus bradycardia 48bpm,,Lives alone. Son visits daily. House has stairs — OT assessment pending.,Fully mobile — independent,Nursing home placement in progress. Social worker involved.,26/02/2026,Written,Thoracotomy + decortication,,,P1b - Urgent - Procedure needed within 72 hours,MONITOR — persistent pyrexia. Source unclear. Repeat bloods today.,THORACIC SURGERY|MONITOR,Active,2026-02-17T13:38:03.423427,2026-02-17T13:38:03.423427,system
KCH0006,Mrs Sunita Osei,488 102 7396,02/03/1947,79 yrs,Female,CCU,Bay 3,Bed D,King's College Hospital,Mr Fraser,Dr Sunita Mensah,Thoracic Surgery,Thoracic Surgery,25/01/2026,VATS lobectomy (lung Ca),23,Day Case,amber,amber,No,,Enoxaparin 40mg SC daily,Free fluids — progressing well,Wheelchair transfers only,HR 84 | BP 112/69 | Temp 37.3°C | O2 93% | RR 20 | NEWS 6,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,No drains. Peripheral cannula in situ.,Wound dehiscence — TVN referral made. Dressing daily.,Bibasal crepitations — improving. Abdomen soft.,No nursing concerns,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",Awaiting physio discharge assessment,84,ok,112/69,ok,37.3,ok,93%,warn,20,ok,6,"Aspirin 75mg OD
Atorvastatin 80mg ON
Bisoprolol 2.5mg OD
Ramipril 5mg OD
Enoxaparin 40mg SC",NKDA,,,,Hb 98↓ | WCC 14.2↑ | Plt 210 | Na 136 | K 4.1 | Cr 98 | eGFR 68 | CRP 54↑ | INR 1.1,"CXR: clear lung fields, no pneumothorax",,C.diff toxin: negative,Independent. Drives own car. No mobility aids. Pre-op baseline excellent.,Walking with stick — improving,Home tomorrow if clinically stable overnight.,01/03/2026,,VATS lobectomy (lung Ca),09/02/2026,Day 8,P1a - Emergency - Procedure needed within 24 hours,MONITOR — wound concern. Erythema noted. TVN referral made.,THORACIC SURGERY|MONITOR,Active,2026-02-17T13:38:03.423474,2026-02-17T13:38:03.423474,system
KCH0007,Miss Anne Martin,505 234 5915,08/05/1958,68 yrs,Female,Ward 5A,Bay 1,Bed D,King's College Hospital,Ms Nwosu,Dr Lakshmi Evans,Urology,Urology,14/02/2026,Transurethral resection prostate (TURP),3,Day Case,green,None,No,,Tinzaparin 3500u SC daily,NBM — return to theatre possible,Weight-bearing as tolerated with crutches,HR 76 | BP 118/69 | Temp 37.3°C | O2 96% | RR 13 | NEWS 1,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,Chest drain removed day 2. Cannula only.,Wound dehiscence — TVN referral made. Dressing daily.,Bibasal crepitations — improving. Abdomen soft.,Family very anxious — need update today,"Meropenem 1g TDS IV
Vancomycin IV — levels
Furosemide 80mg BD
Enoxaparin 40mg SC
Insulin sliding scale",Family not yet informed of diagnosis,76,ok,118/69,ok,37.3,ok,96%,ok,13,ok,1,"Meropenem 1g TDS IV
Vancomycin IV — levels
Furosemide 80mg BD
Enoxaparin 40mg SC
Insulin sliding scale",Sulphonamides — rash,Meropenem 1g TDS IV,3,21/02/2026,Hb 105↓ | WCC 22.1↑↑ | Plt 420↑ | Na 134↓ | K 3.6 | Cr 118↑ | eGFR 52 | CRP 180↑ | PCT 4.2↑,"MRI spine: L4/5 disc prolapse, no cord compression","Sinus rhythm 72bpm, normal axis, no ST changes",C.diff toxin: negative,Complex social situation. Homeless pre-admission. SW involved. Awaiting placement.,Mobilising with crutches NWB,Step-down to ward from HDU — discharge planning to begin.,17/02/2026,Pharmacy,Transurethral resection prostate (TURP),15/02/2026,Day 2,P1a - Emergency - Procedure needed within 24 hours,,UROLOGY,Active,2026-02-17T13:38:03.423524,2026-02-17T13:38:03.423524,system
KCH0008,Mr William Okafor,145 103 6464,27/05/1944,82 yrs,Male,Thoracic Ward,Bay 2,Bed D,King's College Hospital,Dr Martinez,Dr Christine Khan,Respiratory,Respiratory,16/02/2026,Community-acquired pneumonia,1,Day Case,amber,amber,No,Contact,Enoxaparin 40mg SC daily,Soft diet — SALT assessment complete,Non-weight bearing R leg. Hoist transfers,HR 83 | BP 104/82 | Temp 38.4°C | O2 97% | RR 16 | NEWS 4,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,PICC line in situ. Arterial line R radial.,Port sites clean. Day 2 post-op. No concerns.,Cool peripheries. JVP elevated. Bibasal creps.,"Night-time confusion, falls risk HIGH","Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Family not yet informed of diagnosis,83,ok,104/82,warn,38.4,warn,97%,ok,16,ok,4,"Heparin infusion (ACS protocol)
Ticagrelor 90mg BD
Aspirin 75mg OD
GTN spray PRN
Furosemide 40mg IV",Sulphonamides — rash,,,,Hb 78↓↓ | WCC 18.6↑ | Plt 88↓ | Na 131↓ | K 5.2↑ | Cr 210↑ | eGFR 28 | CRP 310↑ | Lactate 3.8↑,"X-ray hip: implant in good position, no loosening",Sinus tachycardia 104bpm,,Residential care home. POC already in place. Ready to return when medically fit.,Mobilising with frame,Complex social situation. Family meeting this week. Package of care to arrange.,02/03/2026,,Community-acquired pneumonia,,,P1b - Urgent - Procedure needed within 72 hours,AMBER — antibiotic review due. Cultures pending. Micro input requested.,RESPIRATORY|MONITOR|CONTACT,Active,2026-02-17T13:38:03.423568,2026-02-17T13:38:03.423568,system
KCH0009,Mr Trevor Adams,906 818 2771,09/03/1967,59 yrs,Male,CCU,Bay 2,Bed B,King's College Hospital,Ms Robertson,Dr Pauline Turner,Medicine,Medicine,07/02/2026,Delirium + fall,10,Surgery Admit,amber,amber,No,,Tinzaparin 3500u SC daily,Diabetic diet. Good intake. HbA1c optimisation ongoing,Non-weight bearing R leg. Hoist transfers,HR 105 | BP 114/67 | Temp 37.0°C | O2 94% | RR 19 | NEWS 4,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,No lines in situ.,Wound dehiscence — TVN referral made. Dressing daily.,Cool peripheries. JVP elevated. Bibasal creps.,Wound soaking dressings — concern re infection,"Meropenem 1g TDS IV
Vancomycin IV — levels
Furosemide 80mg BD
Enoxaparin 40mg SC
Insulin sliding scale",NHS continuing healthcare assessment pending,105,warn,114/67,ok,37.0,ok,94%,warn,19,ok,4,"Meropenem 1g TDS IV
Vancomycin IV — levels
Furosemide 80mg BD
Enoxaparin 40mg SC
Insulin sliding scale",NKDA,Meropenem 1g TDS IV,2,20/02/2026,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,,Sinus bradycardia 48bpm,,Lives alone. Sheltered accommodation. Warden on site. Low-level support needed.,Wheelchair dependent,Home with GP follow-up in 2 weeks. TTL written.,21/02/2026,,Delirium + fall,,,P4 - Elective,AMBER — antibiotic review due. Cultures pending. Micro input requested.,MEDICINE|MONITOR,Active,2026-02-17T13:38:03.423617,2026-02-17T13:38:03.423617,system
KCH0010,Miss Mary Patel,171 780 6409,12/07/1973,53 yrs,Female,Ward 5A,Bay 3,Bed C,King's College Hospital,Dr Gupta,Dr Angela Harris,Gastroenterology,Gastroenterology,04/02/2026,Acute pancreatitis,13,Day Case,amber,amber,No,,Contraindicated — haemorrhage risk,Free fluids — progressing well,Mobilising well — physio goals met,HR 102 | BP 118/77 | Temp 37.2°C | O2 96% | RR 21 | NEWS 5,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,Chest drain in situ — draining serosanguinous fluid.,Wound — mild erythema 1cm. No exudate. Monitor.,Examination unremarkable. Improving.,Wound soaking dressings — concern re infection,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",Awaiting scan result before discharge,102,warn,118/77,ok,37.2,ok,96%,ok,21,warn,5,"Metoprolol 25mg BD
Furosemide 40mg OD
Spironolactone 25mg OD
Warfarin — INR target 2-3
Digoxin 125mcg OD",Latex — contact dermatitis,,,,Hb 88↓ | WCC 6.2 | Plt 156 | Na 142 | K 3.9 | Cr 62 | eGFR >90 | CRP 12 | Albumin 28↓,"USS abdomen: gallstones, CBD 4mm — normal","Sinus rhythm 72bpm, normal axis, no ST changes",MSU: ESBL E.coli — sensitive to meropenem,Lives with family. Good support network. Daughter is main carer.,Fully mobile — independent,Nursing home placement in progress. Social worker involved.,27/02/2026,,Acute pancreatitis,,,P2b - Procedure can be deferred for up to 1 month,AMBER — antibiotic review due. Cultures pending. Micro input requested.,GASTROENTEROLOGY|MONITOR,Active,2026-02-17T13:38:03.423659,2026-02-17T13:38:03.423659,system
